sno,registration_no,project_name,promoter_name,district,project_type
928,UPRERAPRJ6815,SPORTSHOME,DEVSAI CONSTRUCTION PRIVATE LIMITED,Gautam Buddha Nagar,Residential
929,UPRERAPRJ743918,SPORTSHOME PHASE II,DEVSAI CONSTRUCTION PRIVATE LIMITED,Gautam Buddha Nagar,Residential
930,UPRERAPRJ274689,Spring Elmas,Sublime Realtech Private Limited,Gautam Buddha Nagar,Mixed
931,UPRERAPRJ742412,SPRING HOMES,Clover Probuild Private Limited,Gautam Buddha Nagar,Residential
932,UPRERAPRJ6831,SPRING MEADOWS,Pigeon Buildhome Private Limited,Gautam Buddha Nagar,Residential
933,UPRERAPRJ305571/04/2026,STELLAR  1422  PHASE  II,CTA Softech Private Limited,Gautam Buddha Nagar,Commercial
934,UPRERAPRJ6209,Stellar One Phase 1,Stellar Spring Projects Private Limited,Gautam Buddha Nagar,Residential
935,UPRERAPRJ923780,STELLAR ONE PHASE II,Stellar Spring Projects Private Limited,Gautam Buddha Nagar,Residential
936,UPRERAPRJ564504/08/2024,STELLAR ONE PHASE III,Stellar Spring Projects Private Limited,Gautam Buddha Nagar,Residential
937,UPRERAPRJ9855,Sunshine 94,SUNSHINE TRADETOWER PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
938,UPRERAPRJ9345,SUNSHINE SOLARIS,GOLFGREEN RESIDENCY PRIVATE LIMITED,Gautam Buddha Nagar,Residential
939,UPRERAPRJ7190,SUNTWILIGHT - COMMERCIAL,SUNRISE STRUCTURES & DEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
940,UPRERAPRJ7280,SUNTWILIGHT - RECREATIONAL - PHASE - I,SUNRISE STRUCTURES & DEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
941,UPRERAPRJ7325,SUNTWILIGHT - RECREATIONAL - PHASE-II,SUNRISE STRUCTURES & DEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
942,UPRERAPRJ6444,Sunworld Arista,Sunworld Residency Private Limited,Gautam Buddha Nagar,Residential
943,UPRERAPRJ11587,"SUNWORLD ARISTA (PH-1 T-1,2,3,4,6,10)",Sunworld Residency Private Limited,Gautam Buddha Nagar,Residential
