sno,registration_no,project_name,promoter_name,district,project_type
193,UPRERAPRJ4186,"BLOSSOM GREENS (PHASE-2 TOWER- H, I &J)",LOGIX INFRATECH PRIVATE LIMITED,Gautam Buddha Nagar,Residential
194,UPRERAPRJ4218,"BLOSSOM GREENS (PHASE-3 TOWER A , K & CLUB HOUSE)",LOGIX INFRATECH PRIVATE LIMITED,Gautam Buddha Nagar,Residential
195,UPRERAPRJ4766,"BLOSSOM GREENS(PHASE-6 TOWER -U,V,W & SHOP)",LOGIX INFRATECH PRIVATE LIMITED,Gautam Buddha Nagar,Residential
196,UPRERAPRJ5597,"BLOSSOM ZEST (PHASE -1 TOWER- A ,B,C,& SAT-1 &2 )",LOGIX CITY DEVELOPERS PVT.LTD.,Gautam Buddha Nagar,Residential
197,UPRERAPRJ4834,"BLOSSOM ZEST (PHASE 2 TOWER- D,E,F & CLUB)",LOGIX CITY DEVELOPERS PVT.LTD.,Gautam Buddha Nagar,Residential
198,UPRERAPRJ4870,"BLOSSOM ZEST(PHASE -3 TOWER- SAT- 3,4,&7)",LOGIX CITY DEVELOPERS PVT.LTD.,Gautam Buddha Nagar,Residential
199,UPRERAPRJ4903,"BLOSSOM ZEST(PHASE- 4,TOWER- SAT-8,9 &10)",LOGIX CITY DEVELOPERS PVT.LTD.,Gautam Buddha Nagar,Residential
200,UPRERAPRJ7271,BOULEVARD WALK (PHASE 1),REGAL EMPORIA INFRATECH PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
201,UPRERAPRJ7295,BOULEVARD WALK (PHASE 2),REGAL EMPORIA INFRATECH PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
202,UPRERAPRJ7313,BOULEVARD WALK (PHASE 3),REGAL EMPORIA INFRATECH PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
203,UPRERAPRJ15654,BOULEVARD WALK (PHASE 4),REGAL EMPORIA INFRATECH PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
204,UPRERAPRJ15766,BRIGHTON HOUSES,anabia infrastructure private limited,Gautam Buddha Nagar,Residential
205,UPRERAPRJ5771,BUILTUPS ZONE I,M/s Uttam Steels & Associates { Consortium) throug; ANSAL HI-TECH TOWNSHIPS LTD,Gautam Buddha Nagar,Residential
206,UPRERAPRJ5838,BUILTUPS ZONE II,M/s Uttam Steels & Associates { Consortium) throug; ANSAL HI-TECH TOWNSHIPS LTD,Gautam Buddha Nagar,Residential
207,UPRERAPRJ5548,BULLAND CALISTO,BULLAND REALTORS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
208,UPRERAPRJ16402,BULLAND CALISTO PHASE-II,BULLAND REALTORS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
209,UPRERAPRJ16437,BULLAND CALISTO PHASE-III,BULLAND REALTORS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
210,UPRERAPRJ4967,BULLAND ELEVATES,BULLAND BUILDTECH PRIVATE LIMITED,Gautam Buddha Nagar,Residential
211,UPRERAPRJ6310,Capital Athena (Phase-1),CAPITAL INFRATECHOMES  PRIVATE LIMITED,Gautam Buddha Nagar,Residential
212,UPRERAPRJ6377,CAPITAL ATHENA (Phase-2),CAPITAL INFRATECHOMES  PRIVATE LIMITED,Gautam Buddha Nagar,Residential
213,UPRERAPRJ967323,CAPITAL ATHENA PHASE-3  COMMERCIAL,CAPITAL INFRATECHOMES  PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
214,UPRERAPRJ7063,CAPITAL CITY,BPTP LIMITED,Gautam Buddha Nagar,Commercial
215,UPRERAPRJ665479,Capitol Avenue,ANAND HABITAT INFRASTRUCTURE PRIVATE LIMITED; CHAMBAL TRADINGS PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
216,UPRERAPRJ10265,CASA GRANDE,EARTHCON CONSTRUCTIONS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
217,UPRERAPRJ4491,CASA GRANDE-2,EARTHCON CONSTRUCTIONS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
218,UPRERAPRJ391718/03/2026,CASA GRANDE2-TOWERA1,EARTHCON CONSTRUCTIONS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
219,UPRERAPRJ3708,CASA GREENS1,RADHEY KRISHNA TECHNO BUILD PVT LTD,Gautam Buddha Nagar,Residential
220,UPRERAPRJ4689,CASA ROYALE & SANSKRITI,EARTHCON UNIVERSAL INFRATECH PRIVATE LIMITED,Gautam Buddha Nagar,Residential
221,UPRERAPRJ2855,CASA WOODSTOCK,ANGELS INFRAHEIGHT PRIVATE LIMITED,Gautam Buddha Nagar,Residential
222,UPRERAPRJ9635,CENTRADE BUSINESS PARK PHASE I,KRASA INTERNATIONAL PVT. LTD.,Gautam Buddha Nagar,Commercial
223,UPRERAPRJ11099,CENTRADE BUSINESS PARK PHASE II,KRASA INTERNATIONAL PVT. LTD.,Gautam Buddha Nagar,Commercial
224,UPRERAPRJ770290,CENTRAL 50,WEST WAY CITY CENTRE LLP,Gautam Buddha Nagar,Commercial
225,UPRERAPRJ805659/07/2024,CENTRAL IKON,BUSINESS BAY FIN INFRA PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
226,UPRERAPRJ101301,CENTRAL MARKET,WEST WAY REALTY LLP,Gautam Buddha Nagar,Commercial
227,UPRERAPRJ17739,CENTRAL PLAZA,AIMS ANGEL INFRATECH LLP,Gautam Buddha Nagar,Commercial
228,UPRERAPRJ11256,centurian park,AMRAPALI CENTURIAN PARK PVT LTD,Gautam Buddha Nagar,Residential
229,UPRERAPRJ13904,CIRCUIT HEIGHTS,MSA DEVELOPERS PVT. LTD.,Gautam Buddha Nagar,Residential
230,UPRERAPRJ270081,City Center 150,Logix Infradevelopers Private Limited,Gautam Buddha Nagar,Commercial
231,UPRERAPRJ364474,civitech Santoni,Civitech Buildcon Private Limited,Gautam Buddha Nagar,Commercial
232,UPRERAPRJ8725,Civitech Stadia,Golfgreen Superstructures Private Limited,Gautam Buddha Nagar,Residential
233,UPRERAPRJ646272,Civitech Strings,SA.G.Realtech Private Limited,Gautam Buddha Nagar,Residential
234,UPRERAPRJ2369,"Cleo County ,Phase -2,(Comprising towers A-3,A-4,A",IV COUNTY PVT LTD,Gautam Buddha Nagar,Residential
235,UPRERAPRJ2437,"Cleo County ,Phase -3,(Comprising towers E1,E2,E3,",IV COUNTY PVT LTD,Gautam Buddha Nagar,Residential
236,UPRERAPRJ5931,"Cleo County, Ph 1 ( comprising of tower D1 D2 C1 C",IV County Pvt Ltd,Gautam Buddha Nagar,Residential
237,UPRERAPRJ696539/11/2025,Clove County,Shirja Real Estate Solutions Pvt. Ltd.,Gautam Buddha Nagar,Residential
238,UPRERAPRJ958386,Coco County,Shirja Real Estate Solutions Pvt. Ltd.,Gautam Buddha Nagar,Residential
239,UPRERAPRJ7166,Commercial Complex by KK Projects at Delhi One,KK Projects,Gautam Buddha Nagar,Commercial
240,UPRERAPRJ15338,"Convenient Shopping Complex, Sector 22D",Yamuna Expressway Industrial devlopment Authority,Gautam Buddha Nagar,Commercial
241,UPRERAPRJ837374,County One O Seven,Countyconcept Developers LLP; ACE INRACITY DEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
242,UPRERAPRJ613747,CRC Joyous,CRC Homes Private Limited; HABITECH INFRASTRUCTURE LIMITED,Gautam Buddha Nagar,Residential
243,UPRERAPRJ724518/07/2024,CRC MAESTA,CRC Homes Private Limited; COMELY BUILDTECH INDIA PRIVATE LIMITED,Gautam Buddha Nagar,Residential
244,UPRERAPRJ15180,CRC SUBLIMIS,Enticement Infrastructure Private Limited,Gautam Buddha Nagar,Residential
245,UPRERAPRJ151,Crest,AR LANDCRAFT LLP,Gautam Buddha Nagar,Commercial
246,UPRERAPRJ10126,Crossroad,anil gupta,Gautam Buddha Nagar,Residential
247,UPRERAPRJ438937/04/2026,Crown Residences at Godrej Golf Links,AR LANDCRAFT LLP,Gautam Buddha Nagar,Residential
248,UPRERAPRJ14041,Curio City,ORRIS INFRASTRUCTURE PRIVATE LIMITED,Gautam Buddha Nagar,Residential
249,UPRERAPRJ5566,Cyber,Imperia Structures Ltd,Gautam Buddha Nagar,Commercial
250,UPRERAPRJ184449/10/2025,CYBER CITY,Elegant IT Solutions Private Limited,Gautam Buddha Nagar,Commercial
251,UPRERAPRJ436071/04/2024,CYBER HUB 2,Galactic City Private Limited; ELEGANT IT SOLUTIONS PVT. LTD.,Gautam Buddha Nagar,Commercial
252,UPRERAPRJ533406/10/2025,CYBER PARK,Elegant IT Solutions Private Limited,Gautam Buddha Nagar,Commercial
253,UPRERAPRJ236478,CYBERTHUM PHASE A,MAX-DIGI INFOTECH PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
254,UPRERAPRJ240015,CYBERTHUM PHASE B,MAX-DIGI INFOTECH PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
255,UPRERAPRJ190938,CYBERTHUM PHASE E (BLOCK A),MAX-DIGI INFOTECH PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
256,UPRERAPRJ674006,CYBERTHUM PHASE H (BLOCK D),MAX-DIGI INFOTECH PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
257,UPRERAPRJ452606,CYBERTHUM PHASE II,MAX-DIGI INFOTECH PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
258,UPRERAPRJ11424,DAFFODIL TOWER L (ELEMENTS & CONVINIENT SHOPS),MPG REALTY PRIVATE LIMITED,Gautam Buddha Nagar,Residential
259,UPRERAPRJ823868,DASNAC ARC (PHASE I),MONTEVISTA PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
260,UPRERAPRJ518502/05/2024,DASNAC PLACE,WESTRIVER PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
261,UPRERAPRJ239402/06/2024,DASNAC WESTMINSTER,E HOMES INFRASTRUCTURE PVT LTD,Gautam Buddha Nagar,Mixed
262,UPRERAPRJ871413/01/2025,DASNAC YUVA,CLEARLAKE PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
263,UPRERAPRJ9759,"DELHI ONE TOWER B, FS HOTEL, RESI 1,2,3 AND RETAIL",BOULEVARD PROJECTS PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
264,UPRERAPRJ10308,DELTA CITY CENTRE,STARTLE INFRASTRUCTURE PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
265,UPRERAPRJ787189/12/2025,Delta Square,Baba Projects Private Limited,Gautam Buddha Nagar,Commercial
266,UPRERAPRJ349486/03/2026,Delta Square 1,BABAGREEN INFRABUILD PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
267,UPRERAPRJ5398,DEVIKA GOLD HOMZ,DEVIKA GOLD HOMZ PVT. LTD.,Gautam Buddha Nagar,Residential
268,UPRERAPRJ3601,Divyansh Flora,Divyansh Infraheight Pvt. Ltd.,Gautam Buddha Nagar,Residential
269,UPRERAPRJ8174,Divyansh Flora,Divyansh Infraheight Pvt. Ltd.,Gautam Buddha Nagar,Residential
270,UPRERAPRJ120773/08/2025,DIVYANSH GREEN HEIGHTS,PRASU DIVYANSH INFRAHEIGHT LLP,Gautam Buddha Nagar,Residential
271,UPRERAPRJ327475/10/2025,Divyarv Grande,Sukadiv Projects LLP,Gautam Buddha Nagar,Commercial
272,UPRERAPRJ720547,DLF Techpark Noida,URVASI INFRATECH PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
273,UPRERAPRJ385951/08/2024,DLF Techpark Noida Phase 2,URVASI INFRATECH PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
274,UPRERAPRJ13810,Dream Homes-2,MAAN PROPERTIES AND DEVELOPERS PVT. LTD.,Gautam Buddha Nagar,Residential
275,UPRERAPRJ13964,Dream Valley-1 (Villa),AMRAPALI DREAM VALLEY PRIVATE LIMITED,Gautam Buddha Nagar,Residential
276,UPRERAPRJ13966,"Dream Valley-2, Phase-1 (A1 to A7)",AMRAPALI DREAM VALLEY PRIVATE LIMITED,Gautam Buddha Nagar,Residential
277,UPRERAPRJ13968,"Dream Valley-2, Phase-2 (B5,B6, C1 TO C5 , C11 & C12)",AMRAPALI DREAM VALLEY PRIVATE LIMITED,Gautam Buddha Nagar,Residential
278,UPRERAPRJ13960,"Dream Valley-2, Phase-3 (C6 TO C10)",AMRAPALI DREAM VALLEY PRIVATE LIMITED,Gautam Buddha Nagar,Residential
279,UPRERAPRJ13972,"Dream Valley-2, Phase-4 (D1,D2, E1 TO E8)",AMRAPALI DREAM VALLEY PRIVATE LIMITED,Gautam Buddha Nagar,Residential
280,UPRERAPRJ13976,"Dream Valley-2, Phase-5 (B1 TO B4 & F1 TO F12)",AMRAPALI DREAM VALLEY PRIVATE LIMITED,Gautam Buddha Nagar,Residential
281,UPRERAPRJ1440,DURVA GREENS,KAMRUP HOUSING PROJECT PVT. LTD.,Gautam Buddha Nagar,Residential
282,UPRERAPRJ9893,Earth Gracia,EARTH GRACIA BUILDCON PRIVATE LIMITED,Gautam Buddha Nagar,Residential
283,UPRERAPRJ9887,Earth Sapphire Court,EARTH INFRASTRUCTURES LIMITED,Gautam Buddha Nagar,Commercial
284,UPRERAPRJ9979,Earth Techone,EARTH INFRASTRUCTURES LIMITED,Gautam Buddha Nagar,Commercial
285,UPRERAPRJ13809,Earth Titanium,EARTH ICONIC INFRASTRUCTURES PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
286,UPRERAPRJ10012,Earth Towne,EARTH INFRASTRUCTURES LIMITED,Gautam Buddha Nagar,Residential
287,UPRERAPRJ4112,ECO VILLAGE-II (PHASE-I),SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
288,UPRERAPRJ510056/09/2025,EKANAM,GreatValue Projects India Limited,Gautam Buddha Nagar,Residential
289,UPRERAPRJ106523/01/2026,Eldeco 7 Peaks Residences,Eldeco Homes Developers Limited,Gautam Buddha Nagar,Residential
290,UPRERAPRJ1916,ELDECO AAMANTRAN(INSPIRE & EDGE,Eldeco Infrastructure and Properties Limited,Gautam Buddha Nagar,Residential
291,UPRERAPRJ921261/05/2025,Eldeco Ballads of Bliss,Eldeco Goodliving Properties Limited,Gautam Buddha Nagar,Residential
292,UPRERAPRJ125342/02/2026,ELDECO ECHOES OF EDEN,Eldeco Sohna Projects Limited,Gautam Buddha Nagar,Residential
293,UPRERAPRJ136219/04/2024,Eldeco La Vida Bella,Eldeco Real Estate Limited,Gautam Buddha Nagar,Residential
294,UPRERAPRJ15172,ELDECO LIVE BY THE GREENS (PHASE I),Wondrous Buildmart Private Limited,Gautam Buddha Nagar,Residential
295,UPRERAPRJ575706,Eldeco Live By The Greens Phase -III,Wondrous Buildmart Private Limited,Gautam Buddha Nagar,Residential
296,UPRERAPRJ121123,Eldeco Live By the Greens Phase-II,Wondrous Buildmart Private Limited,Gautam Buddha Nagar,Residential
297,UPRERAPRJ752382/09/2025,Eldeco Whispers of Wonder,Eldeco Sohna Projects Limited,Gautam Buddha Nagar,Residential
298,UPRERAPRJ10243,ELEGANT SPLENDOUR PHASE-1,ELEGANT INFRACON PVT LTD; FLORAL REALTECH PRIVATE LIMITED,Gautam Buddha Nagar,Residential
299,UPRERAPRJ10279,ELEGANT SPLENDOUR PHASE-3,ELEGANT INFRACON PVT LTD; FLORAL REALTECH PRIVATE LIMITED,Gautam Buddha Nagar,Residential
300,UPRERAPRJ10120,ELEGANT VILLE PHASE-1,ELEGANT INFRACON PVT LTD,Gautam Buddha Nagar,Residential
301,UPRERAPRJ10224,ELEGANT VILLE PHASE-3,ELEGANT INFRACON PVT LTD,Gautam Buddha Nagar,Residential
302,UPRERAPRJ10234,ELEGANT VILLE PHASE-4,ELEGANT INFRACON PVT LTD,Gautam Buddha Nagar,Residential
303,UPRERAPRJ4654,ELITE GOLF GREENS,GOLFGREEN MANSIONS PVT. LTD.,Gautam Buddha Nagar,Residential
304,UPRERAPRJ916631/02/2024,Elite X,GOLFGREEN MANSIONS PVT. LTD.,Gautam Buddha Nagar,Residential
305,UPRERAPRJ6010,ELIXIR MALL,SDS INFRASTRUCTURE PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
306,UPRERAPRJ15152,EMBARK PLAZA,K2N Infra India Private Limited,Gautam Buddha Nagar,Commercial
307,UPRERAPRJ11486,Emerald Court Phase II (Apex & Ceyane),SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
308,UPRERAPRJ11733,EMINENCE - PHASE 1,ABET BUILDCON PRIVATE LIMITED,Gautam Buddha Nagar,Residential
309,UPRERAPRJ828955,Eminence Phase-2,ELICIT REALTECH PRIVATE LIMITED,Gautam Buddha Nagar,Residential
310,UPRERAPRJ13977,ENCHANTE (H5 TO H9),AMRAPALI DREAM VALLEY PRIVATE LIMITED,Gautam Buddha Nagar,Residential
311,UPRERAPRJ301564,Eros Sampoornam 2,AJAY ENTERPRISES PRIVATE LIMITED,Gautam Buddha Nagar,Residential
312,UPRERAPRJ512436/07/2024,Eros Sampoornam 3,AJAY ENTERPRISES PRIVATE LIMITED,Gautam Buddha Nagar,Residential
313,UPRERAPRJ972907,EROS SAMPOORNAM I,AJAY ENTERPRISES PRIVATE LIMITED,Gautam Buddha Nagar,Residential
314,UPRERAPRJ6825,E-SQUARE (COMMERCIAL),HOTSHOT DEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
315,UPRERAPRJ529777/03/2026,Estate 105,MAX ESTATES NOIDA PRIVATE LIMITED,Gautam Buddha Nagar,Mixed
316,UPRERAPRJ446459,Estate 128,Max Estates 128 Private Limited,Gautam Buddha Nagar,Residential
317,UPRERAPRJ294911/12/2024,Estate 128 - II,Max Estates 128 Private Limited,Gautam Buddha Nagar,Residential
318,UPRERAPRJ469983,Eureka Park - Phase 2,Land Kart Builders Private Limited,Gautam Buddha Nagar,Residential
319,UPRERAPRJ5448,EUREKA PARK-PHASE 1,Land Kart Builders Private Limited,Gautam Buddha Nagar,Residential
320,UPRERAPRJ2126,EVOKE,AR LANDCRAFT LLP,Gautam Buddha Nagar,Commercial
321,UPRERAPRJ5563,EWS AASRA ZONE I (E01- E16),M/s Uttam Steels & Associates { Consortium) throug; ANSAL HI-TECH TOWNSHIPS LTD,Gautam Buddha Nagar,Residential
322,UPRERAPRJ5561,EWS Aasra ZONE II (E17-E32),M/s Uttam Steels & Associates { Consortium) throug; ANSAL HI-TECH TOWNSHIPS LTD,Gautam Buddha Nagar,Residential
323,UPRERAPRJ5606,EWS AASRA ZONE III (E33- E80),M/s Uttam Steels & Associates { Consortium) throug; ANSAL HI-TECH TOWNSHIPS LTD,Gautam Buddha Nagar,Residential
324,UPRERAPRJ731857/04/2025,Exotica 132,EXOTICA INFRATECH LLP,Gautam Buddha Nagar,Commercial
325,UPRERAPRJ9577,Exotica Dreamville Phase-III (Tower T-1 & T-2),Exotica Housing & Infrastructure Projects Pvt Ltd.,Gautam Buddha Nagar,Residential
326,UPRERAPRJ5545,Exotica Dreamville Phase-IV (Tower T-14 &T-15),Exotica Housing & Infrastructure Projects Pvt Ltd.,Gautam Buddha Nagar,Residential
327,UPRERAPRJ120027/04/2024,Experion Elements Phase-1,Experion Developers Pvt. Ltd,Gautam Buddha Nagar,Residential
328,UPRERAPRJ953234/04/2024,Experion Elements Phase-2,Experion Developers Pvt. Ltd,Gautam Buddha Nagar,Residential
329,UPRERAPRJ747628/01/2026,Experion SAATORI,Experion Developers Pvt. Ltd,Gautam Buddha Nagar,Residential
330,UPRERAPRJ479698,Express Astra (Phase-1),Express Projects Pvt. Ltd.,Gautam Buddha Nagar,Residential
331,UPRERAPRJ229234,Express Astra (Phase-II),Express Projects Pvt. Ltd.,Gautam Buddha Nagar,Residential
332,UPRERAPRJ816123/04/2026,Express One34,Expressway Hospitality Private Limited,Gautam Buddha Nagar,Commercial
333,UPRERAPRJ3393,"Express Zenith (Phase 2, Tower B and C)",Express Builders & Promoters Pvt. Ltd.,Gautam Buddha Nagar,Residential
334,UPRERAPRJ980703/04/2024,EXPRESS ZENITH (TOWER A),Express Builders & Promoters Pvt. Ltd.,Gautam Buddha Nagar,Residential
335,UPRERAPRJ211016,Eye Of Noida (EON) - Block-A,FAIRFOX ITINFRA PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
336,UPRERAPRJ882013,EYE OF NOIDA (EON) BLOCK -B AND D,FAIRFOX ITINFRA PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
337,UPRERAPRJ716606,EYE OF NOIDA (EON) BLOCK-E,FAIRFOX ITINFRA PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
338,UPRERAPRJ7115,F PREMIERE (PHASE 1),HOME AND SOUL INFRATECH PRIVATE LIMITED,Gautam Buddha Nagar,Residential
339,UPRERAPRJ7173,F PREMIERE (PHASE 2),HOME AND SOUL INFRATECH PRIVATE LIMITED,Gautam Buddha Nagar,Residential
340,UPRERAPRJ7195,F PREMIERE (PHASE 3),HOME AND SOUL INFRATECH PRIVATE LIMITED,Gautam Buddha Nagar,Residential
341,UPRERAPRJ3983,FAIRWAY ZONE-1,M/s Uttam Steels & Associates { Consortium) throug; ANSAL HI-TECH TOWNSHIPS LTD,Gautam Buddha Nagar,Residential
342,UPRERAPRJ4526,FAIRWAY ZONE-2 (Tower F & K),M/s Uttam Steels & Associates { Consortium) throug; ANSAL HI-TECH TOWNSHIPS LTD,Gautam Buddha Nagar,Residential
343,UPRERAPRJ4814,FAIRWAY ZONE-3 (Tower E & L),M/s Uttam Steels & Associates { Consortium) throug; ANSAL HI-TECH TOWNSHIPS LTD,Gautam Buddha Nagar,Residential
344,UPRERAPRJ4863,"FAIRWAY ZONE-4 (Tower A, G, H, J & I)",M/s Uttam Steels & Associates { Consortium) throug; ANSAL HI-TECH TOWNSHIPS LTD,Gautam Buddha Nagar,Residential
345,UPRERAPRJ5677,FAIRWAY ZONE-5 (TOWER C&D),M/s Uttam Steels & Associates { Consortium) throug; ANSAL HI-TECH TOWNSHIPS LTD,Gautam Buddha Nagar,Residential
346,UPRERAPRJ2873,Festival City Phase-I(De-Registered Project),Mist Direct Sales Private Limited,Gautam Buddha Nagar,Commercial
347,UPRERAPRJ3056,Festival City Phase-II,Mist Direct Sales Private Limited,Gautam Buddha Nagar,Commercial
348,UPRERAPRJ3088,Festival City Phase-III,Mist Direct Sales Private Limited,Gautam Buddha Nagar,Commercial
349,UPRERAPRJ662072/10/2024,FIVEO,GYGY DEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
350,UPRERAPRJ13277,FLORA HERITAGE,SOLARIS REALTECH PVT. LTD.,Gautam Buddha Nagar,Residential
351,UPRERAPRJ8813,"Footprints for Commercial Use, Sec-22A",Yamuna Expressway Industrial devlopment Authority,Gautam Buddha Nagar,Commercial
352,UPRERAPRJ3680,"FORESTE, PHASE-I (COMPRISING TOWERS T1, T2, T3,T8,",AURA BUILDWELL PVT. LTD.,Gautam Buddha Nagar,Residential
353,UPRERAPRJ3777,"FORESTE, PHASE-II (COMPRISING TOWERS T4, T5,T9)",AURA BUILDWELL PVT. LTD.,Gautam Buddha Nagar,Residential
354,UPRERAPRJ2744,FRENCH APARTMENTS,ANTHEM INFRASTRUCTURE PVT. LTD.,Gautam Buddha Nagar,Residential
355,UPRERAPRJ3302,Fusion Homes,Fusion Buildtech Private Limited,Gautam Buddha Nagar,Residential
356,UPRERAPRJ7361,Future  estate (Phase-fe-1),FUTUREWORLD GREENHOMES PVT. LTD.,Gautam Buddha Nagar,Residential
357,UPRERAPRJ7399,Future Estate (Phase -fe-4),FUTUREWORLD GREENHOMES PVT. LTD.,Gautam Buddha Nagar,Residential
358,UPRERAPRJ7386,Future Estate (Phase-fe-3),FUTUREWORLD GREENHOMES PVT. LTD.,Gautam Buddha Nagar,Residential
359,UPRERAPRJ7369,Future Estate(Phase-Fe-2),FUTUREWORLD GREENHOMES PVT. LTD.,Gautam Buddha Nagar,Residential
360,UPRERAPRJ6157,"G.H. Scheme (Omaxe Riyaasat) on Plot No. GH-I,II,",Omaxe Buildhome Private Limited,Gautam Buddha Nagar,Residential
361,UPRERAPRJ194193,Galactic City- Cyberhub,Galactic City Private Limited; ELEGANT IT SOLUTIONS PVT. LTD.,Gautam Buddha Nagar,Commercial
362,UPRERAPRJ15254,Galactic City-Universal Tower,Homes Connect Developers Private Limited,Gautam Buddha Nagar,Commercial
363,UPRERAPRJ7182,GALAXY BLUE SAPPHIRE PLAZA,GLD INFRAPROJECTS PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
364,UPRERAPRJ6760,Galaxy Diamond Plaza,Asteroid Shelters Homes Pvt. Ltd,Gautam Buddha Nagar,Commercial
365,UPRERAPRJ5458,Galaxy North Avenue (Tower G),Galaxy  International Realtech Pvt. Ltd.,Gautam Buddha Nagar,Residential
366,UPRERAPRJ4506,"Galaxy North Avenue II - Towers A,B & D",Galaxy Dream Home Developers pvt ltd,Gautam Buddha Nagar,Residential
367,UPRERAPRJ5806,GALAXY ROYALE  Ph1  Towers A Keshav/B Gokul/CSC,PRITHVEELINK BUILDWELL PRIVATE LIMITED,Gautam Buddha Nagar,Residential
368,UPRERAPRJ5836,"GALAXY ROYALE ,Phase-2(Tower C Vrindavan,Club)",PRITHVEELINK BUILDWELL PRIVATE LIMITED,Gautam Buddha Nagar,Residential
369,UPRERAPRJ4890,Galaxy Vega - Tower F&G and CSC Green Arcade,PANCH TATVA PROMOTERS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
370,UPRERAPRJ7346,Gardenia Gateway,FUTEC SHELTERS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
371,UPRERAPRJ11023,Gardenia Gateway (Phase-I),GARDENIA INDIA LIMITED,Gautam Buddha Nagar,Residential
372,UPRERAPRJ11037,Gardenia Gateway (Phase-II),GARDENIA INDIA LIMITED,Gautam Buddha Nagar,Residential
373,UPRERAPRJ181923,Gateway  Plaza,AR LANDCRAFT LLP,Gautam Buddha Nagar,Commercial
374,UPRERAPRJ950965/07/2026,GAUR ALARIS (PHASE 1),Gaursons India Private Limited,Gautam Buddha Nagar,Residential
375,UPRERAPRJ6838,Gaur Atulyam,UP Township Infrastructure Private Limited,Gautam Buddha Nagar,Residential
376,UPRERAPRJ622344/11/2025,GAUR CHRYSALIS  (PHASE 1),Gaursons Promoters Private Limited,Gautam Buddha Nagar,Residential
377,UPRERAPRJ10206,Gaur City Arcade,Gaursons Promoters Private Limited,Gautam Buddha Nagar,Commercial
378,UPRERAPRJ4780,Gaur City Center,Gaursons Hi-Tech Infrastructure Private Limited,Gautam Buddha Nagar,Commercial
379,UPRERAPRJ6934,Gaur City Mall,Gaursons Hi-Tech Infrastructure Private Limited,Gautam Buddha Nagar,Commercial
380,UPRERAPRJ7057,Gaur Mulberry Mansions - FH-02,Gaursons India Private Limited,Gautam Buddha Nagar,Residential
381,UPRERAPRJ4897,Gaur Mulberry Mansions - FH-03,Gaursons Hi-Tech Infrastructure Private Limited,Gautam Buddha Nagar,Residential
382,UPRERAPRJ6335,Gaur Saundaryam (Phase-2),Gaursons Realty Private Limited,Gautam Buddha Nagar,Residential
383,UPRERAPRJ3528,Gaur Sportswood,Gaursons Sportswood Private Limited,Gautam Buddha Nagar,Residential
384,UPRERAPRJ674297,Gaur World Street,Fastidious Buildmart Private Limited,Gautam Buddha Nagar,Commercial
385,UPRERAPRJ351477,Gaurs Runway Suites - Master Plan Commercial (Gaur Yamuna City),Gaursons Realtech Private Limited,Gautam Buddha Nagar,Commercial
386,UPRERAPRJ7084,GAYATRI AURA,GAYATRI HOSPITALITY AND REAL CON LIMITED; FLORAL HOMES PRIVATE LIMITED,Gautam Buddha Nagar,Residential
387,UPRERAPRJ7360,GAYATRI LIFE,GAYATRI INFRA PLANNER PRIVATE LIMITED,Gautam Buddha Nagar,Residential
